,scenario,run,src_risk,few_shot_risk,trg_risk
215,syn_wal_36_to_dp_wal_36,5,0.0011,2.5028,7.3133
216,syn_wal_36_to_dp_wal_36,6,0.0140,3.9961,10.4226
217,syn_wal_36_to_dp_wal_36,7,0.0017,3.6585,6.6117
218,syn_wal_36_to_dp_wal_36,8,0.0010,2.4561,5.4925
219,syn_wal_36_to_dp_wal_36,9,0.0010,2.7229,5.0773
220,syn_wal_37_to_dp_wal_37,0,0.0008,4.9219,4.7219
221,syn_wal_37_to_dp_wal_37,1,0.0012,3.9345,4.6832
222,syn_wal_37_to_dp_wal_37,2,0.0022,4.1572,4.5550
223,syn_wal_37_to_dp_wal_37,3,0.0010,4.9138,4.7571
224,syn_wal_37_to_dp_wal_37,4,0.0016,3.4356,3.4461
225,syn_wal_37_to_dp_wal_37,5,0.0011,3.8122,4.8820
226,syn_wal_37_to_dp_wal_37,6,0.0012,3.3260,4.3009
227,syn_wal_37_to_dp_wal_37,7,0.0013,5.3295,4.8072
228,syn_wal_37_to_dp_wal_37,8,0.0013,2.8412,3.1562
229,syn_wal_37_to_dp_wal_37,9,0.0007,4.6525,4.2115
230,syn_wal_38_to_dp_wal_38,0,0.0046,13.0174,15.5638
231,syn_wal_38_to_dp_wal_38,1,0.0057,15.9199,20.2473
232,syn_wal_38_to_dp_wal_38,2,0.0105,15.7779,17.6365
233,syn_wal_38_to_dp_wal_38,3,0.0192,10.7796,12.0433
234,syn_wal_38_to_dp_wal_38,4,0.0036,9.4213,11.5854
235,syn_wal_38_to_dp_wal_38,5,0.0072,14.7381,16.4715
236,syn_wal_38_to_dp_wal_38,6,0.0056,11.4384,13.6076
237,syn_wal_38_to_dp_wal_38,7,0.0090,14.4393,16.3791
238,syn_wal_38_to_dp_wal_38,8,0.0032,13.7271,16.1978
239,syn_wal_38_to_dp_wal_38,9,0.0201,12.2129,16.3520
240,syn_wal_39_to_dp_wal_39,0,0.0064,3.3132,2.6079
241,syn_wal_39_to_dp_wal_39,1,0.0274,2.4617,1.6071
242,syn_wal_39_to_dp_wal_39,2,0.0034,1.5800,1.2064
243,syn_wal_39_to_dp_wal_39,3,0.0017,5.4819,2.7781
244,syn_wal_39_to_dp_wal_39,4,0.0032,1.5296,1.2383
245,syn_wal_39_to_dp_wal_39,5,0.0020,3.8038,2.3775
246,syn_wal_39_to_dp_wal_39,6,0.0026,1.3875,1.0979
247,syn_wal_39_to_dp_wal_39,7,0.0102,5.3448,3.3780
248,syn_wal_39_to_dp_wal_39,8,0.0020,3.6709,2.4031
249,syn_wal_39_to_dp_wal_39,9,0.0011,1.2027,0.9679
250,syn_wal_40_to_dp_wal_40,0,0.0017,1.0358,1.1336
251,syn_wal_40_to_dp_wal_40,1,0.0043,1.7337,1.7270
252,syn_wal_40_to_dp_wal_40,2,0.0078,2.8217,2.0497
253,syn_wal_40_to_dp_wal_40,3,0.0018,1.6811,2.2624
254,syn_wal_40_to_dp_wal_40,4,0.0019,1.1377,1.1055
255,syn_wal_40_to_dp_wal_40,5,0.0012,1.6378,1.4507
256,syn_wal_40_to_dp_wal_40,6,0.0019,1.4487,1.3339
257,syn_wal_40_to_dp_wal_40,7,0.0015,1.2176,1.5419
258,syn_wal_40_to_dp_wal_40,8,0.0030,1.2291,0.9157
259,syn_wal_40_to_dp_wal_40,9,0.0011,1.8383,1.4926
260,syn_wal_41_to_dp_wal_41,0,0.0112,4.4254,3.9418
261,syn_wal_41_to_dp_wal_41,1,0.0113,2.9026,4.1708
262,syn_wal_41_to_dp_wal_41,2,0.0092,5.0797,4.3390
263,syn_wal_41_to_dp_wal_41,3,0.0123,4.0283,3.7599
264,syn_wal_41_to_dp_wal_41,4,0.0130,4.4547,4.2494
265,syn_wal_41_to_dp_wal_41,5,0.0111,2.8174,3.6701
266,syn_wal_41_to_dp_wal_41,6,0.0093,3.7441,3.9848
267,syn_wal_41_to_dp_wal_41,7,0.0092,2.6794,2.7354
