,scenario,run,src_risk,few_shot_risk,trg_risk
276,syn_33_to_dp_33,6,0.0271,2.3306,1.8183
277,syn_33_to_dp_33,7,0.0112,2.9870,2.2122
278,syn_33_to_dp_33,8,0.0249,2.3920,1.5848
279,syn_33_to_dp_33,9,0.0281,2.1514,1.6785
280,syn_34_to_dp_34,0,0.0067,1.0069,1.5374
281,syn_34_to_dp_34,1,0.0025,1.0946,1.7902
282,syn_34_to_dp_34,2,0.0245,0.7118,0.7277
283,syn_34_to_dp_34,3,0.0037,0.9819,1.0278
284,syn_34_to_dp_34,4,0.0128,1.2919,1.7697
285,syn_34_to_dp_34,5,0.0089,0.6778,0.7544
286,syn_34_to_dp_34,6,0.0101,1.0121,0.9326
287,syn_34_to_dp_34,7,0.0070,1.1075,0.9979
288,syn_34_to_dp_34,8,0.0045,0.8084,1.1941
289,syn_34_to_dp_34,9,0.0037,0.9058,1.0943
290,syn_35_to_dp_35,0,0.0015,0.8159,0.5755
291,syn_35_to_dp_35,1,0.0059,0.7419,0.4304
292,syn_35_to_dp_35,2,0.0026,1.3112,0.6886
293,syn_35_to_dp_35,3,0.0040,0.9997,0.5084
294,syn_35_to_dp_35,4,0.0016,0.8755,0.4576
295,syn_35_to_dp_35,5,0.0037,0.4479,0.3065
296,syn_35_to_dp_35,6,0.0028,0.3197,0.1915
297,syn_35_to_dp_35,7,0.0100,1.0986,0.8366
298,syn_35_to_dp_35,8,0.0135,1.6746,0.9749
299,syn_35_to_dp_35,9,0.0139,0.3819,0.1592
300,syn_36_to_dp_36,0,0.0007,1.5202,0.8208
301,syn_36_to_dp_36,1,0.0049,1.1222,1.1159
302,syn_36_to_dp_36,2,0.0066,1.8537,1.1032
303,syn_36_to_dp_36,3,0.0009,1.5379,1.0087
304,syn_36_to_dp_36,4,0.0009,1.2026,0.6831
305,syn_36_to_dp_36,5,0.0009,1.3679,0.8471
306,syn_36_to_dp_36,6,0.0013,1.2158,0.8640
307,syn_36_to_dp_36,7,0.0056,2.2181,1.5837
308,syn_36_to_dp_36,8,0.0009,1.5445,1.0844
309,syn_36_to_dp_36,9,0.0077,2.3533,1.5437
310,syn_37_to_dp_37,0,0.0093,0.8298,0.6808
311,syn_37_to_dp_37,1,0.0053,1.8336,1.2936
312,syn_37_to_dp_37,2,0.0010,0.5948,0.4937
313,syn_37_to_dp_37,3,0.0021,0.8632,0.6458
314,syn_37_to_dp_37,4,0.0192,0.6064,0.8087
315,syn_37_to_dp_37,5,0.0012,1.0866,0.7873
316,syn_37_to_dp_37,6,0.0047,1.5667,1.2140
317,syn_37_to_dp_37,7,0.0013,0.9098,0.7800
318,syn_37_to_dp_37,8,0.0008,0.9729,0.6479
319,syn_37_to_dp_37,9,0.0916,2.1093,2.0022
320,syn_38_to_dp_38,0,0.0095,1.4770,1.5554
321,syn_38_to_dp_38,1,0.0075,1.3389,1.2458
322,syn_38_to_dp_38,2,0.0048,2.4183,1.8218
323,syn_38_to_dp_38,3,0.0225,2.9271,1.9572
324,syn_38_to_dp_38,4,0.0117,1.0862,1.2088
325,syn_38_to_dp_38,5,0.0063,1.7252,1.2953
326,syn_38_to_dp_38,6,0.0031,1.8621,1.3928
327,syn_38_to_dp_38,7,0.0034,2.3676,1.3291
328,syn_38_to_dp_38,8,0.0037,1.7266,1.5201
329,syn_38_to_dp_38,9,0.0037,1.4508,1.1107
330,syn_39_to_dp_39,0,0.0036,1.9256,1.3200
331,syn_39_to_dp_39,1,0.0048,1.5964,1.1056
332,syn_39_to_dp_39,2,0.0007,1.4344,0.9844
333,syn_39_to_dp_39,3,0.0014,1.4254,1.1993
334,syn_39_to_dp_39,4,0.0070,2.9110,1.7811
335,syn_39_to_dp_39,5,0.0006,1.7050,1.1443
336,syn_39_to_dp_39,6,0.0014,1.3628,1.1573
337,syn_39_to_dp_39,7,0.0016,0.7606,0.7181
338,syn_39_to_dp_39,8,0.0009,1.7144,1.0838
339,syn_39_to_dp_39,9,0.0030,2.5174,1.6944
340,syn_40_to_dp_40,0,0.0014,2.6649,1.8427
341,syn_40_to_dp_40,1,0.0022,3.5447,4.7466
342,syn_40_to_dp_40,2,0.0015,3.1422,2.7210
343,syn_40_to_dp_40,3,0.0198,3.1119,1.9928
344,syn_40_to_dp_40,4,0.0012,2.2432,1.8568
345,syn_40_to_dp_40,5,0.0006,3.2046,3.0801
346,syn_40_to_dp_40,6,0.0005,3.1078,3.5644
347,syn_40_to_dp_40,7,0.0007,2.5448,2.1394
348,syn_40_to_dp_40,8,0.0028,3.9711,4.8932
349,syn_40_to_dp_40,9,0.5687,5.0830,7.4306
350,syn_41_to_dp_41,0,0.0061,2.5549,1.8275
351,syn_41_to_dp_41,1,0.0031,2.2675,1.6905
352,syn_41_to_dp_41,2,0.0033,1.6663,1.4073
353,syn_41_to_dp_41,3,0.0026,1.5316,1.4066
354,syn_41_to_dp_41,4,0.0044,1.7165,1.6333
355,syn_41_to_dp_41,5,0.0036,2.0027,1.6518
356,syn_41_to_dp_41,6,0.0015,2.3228,1.6969
357,syn_41_to_dp_41,7,0.0020,1.8324,1.4304
358,syn_41_to_dp_41,8,0.0025,1.8176,1.8526
359,syn_41_to_dp_41,9,0.0048,2.6094,2.0151
360,syn_42_to_dp_42,0,0.0341,1.7931,1.0625
361,syn_42_to_dp_42,1,0.0050,1.6786,1.4183
362,syn_42_to_dp_42,2,0.0021,1.9317,2.1242
363,syn_42_to_dp_42,3,0.1844,4.5277,3.1028
364,syn_42_to_dp_42,4,0.0321,1.5361,1.4146
365,syn_42_to_dp_42,5,0.0014,2.1455,1.5244
366,syn_42_to_dp_42,6,0.0039,1.5775,1.6159
367,syn_42_to_dp_42,7,0.0017,2.4813,1.8679
368,syn_42_to_dp_42,8,0.0011,2.6446,1.6886
369,syn_42_to_dp_42,9,0.0031,2.0809,1.5077
370,syn_43_to_dp_43,0,0.0072,3.2496,1.9827
371,syn_43_to_dp_43,1,0.0041,1.5987,1.1872
372,syn_43_to_dp_43,2,0.0013,1.7021,1.0598
373,syn_43_to_dp_43,3,0.0011,1.3416,0.9050
374,syn_43_to_dp_43,4,0.0029,2.3378,1.6218
375,syn_43_to_dp_43,5,0.0025,1.4338,0.8773
